@relation project

@attribute project {true, false}
@attribute conditionID real
@attribute messageID real
@attribute subjectID real
@attribute partnerNumber real
@attribute Lexical_Diversity real
@attribute Emotiveness real
@attribute Pausality real
@attribute Word_Quantity real
@attribute Verb_Quantity real
@attribute Modifier_Quantity real
@attribute Sentence_Quantity real
@attribute passive_verb_ratio real
@attribute modal_verb_ratio real
@attribute Affect_Ratio real
@attribute Sensory_Ratio real
@attribute Temporal_Immediate_Ratio real
@attribute Temporal_NonImmediate_Ratio real
@attribute Spatial_Far_Ratio real
@attribute Spatial_Close_Ratio real
@attribute Average_Sentence_Length real
@attribute Average_Word_Length real
@attribute Content_Word_Diversity real
@attribute Redundancy real
@attribute Misspelled_Words real
@attribute You_References real
@attribute Self_References real
@attribute Group_References real
@attribute Other_References real
@attribute Pleasantness real
@attribute Activation real
@attribute Imagery real
@attribute Pos_Pleasantness_1dev real
@attribute Pos_Activation_1dev real
@attribute Pos_Imagery_1dev real
@attribute Pos_Pleasantness_2dev real
@attribute Pos_Activation_2dev real
@attribute Pos_Imagery_2dev real
@attribute Neg_Pleasantness_1dev real
@attribute Neg_Activation_1dev real
@attribute Neg_Imagery_1dev real
@attribute Neg_Pleasantness_2dev real
@attribute Neg_Activation_2dev real
@attribute Neg_Imagery_2dev real

@data
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2,0,0,2,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,10,3,0,4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.5,3.2,1.0,1.0,0.2,0.0,0.4,0.0,0.0,2.275,1.899,1.4666666666666668,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,0.0,18,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.888888888888889,1.0,8.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,1.7805,1.6312428571428572,1.3714285714285712,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.7273,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,24,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,24.0,2.4166666666666665,1.0,10.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.8944499999999997,1.7791300000000003,1.2399999999999998,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,4.0,10,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.120366666666667,1.5837333333333332,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.5,14,5,0,4,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,3.5,3.5714285714285716,1.0,1.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.4459750000000002,1.968175,2.15,0.75,0.5,0.5,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.46875,0.5,1.0,32,5,6,6,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,5.333333333333333,4.125,1.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.7418,1.7078733333333334,1.4533333333333334,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.3333333333333333,0.5333333333333333,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.0,1.0,26,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.384615384615385,1.0,1.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.8333428571428574,1.6768857142857143,1.8000000000000003,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
true,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,12,2,4,3,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,4.0,41.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.9643000000000004,1.6071333333333333,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
